segment,method,date,score,threshold,score_over_threshold
0,lsc_composite,1958-02-01,5.784250721028906,13.649711405907464,0.42376359096687843
0,lsc_composite,1958-03-01,4.908044050392339,13.649711405907464,0.35957126890376484
0,lsc_composite,1958-04-01,5.202991919577518,13.649711405907464,0.3811796282612769
0,lsc_composite,1958-05-01,4.767946461847179,13.649711405907464,0.3493074923022664
0,lsc_composite,1958-06-01,4.9520597018173795,13.649711405907464,0.36279592692884155
0,lsc_composite,1958-07-01,5.060337480569421,13.649711405907464,0.37072853264717054
0,lsc_composite,1958-08-01,5.316834428997901,13.649711405907464,0.38951991517540996
0,lsc_composite,1958-09-01,5.11038292059757,13.649711405907464,0.37439494276676394
0,lsc_composite,1958-10-01,4.508798523011164,13.649711405907464,0.3303218939163651
0,lsc_composite,1958-11-01,4.498279167824399,13.649711405907464,0.32955122889100696
0,lsc_composite,1958-12-01,4.591823324506373,13.649711405907464,0.3364044255557722
0,lsc_composite,1959-01-01,4.456348018721233,13.649711405907464,0.3264792848874862
0,lsc_composite,1959-02-01,5.043318470916976,13.649711405907464,0.3694816923919927
0,lsc_composite,1959-03-01,5.437906124267561,13.649711405907464,0.3983898239719623
0,lsc_composite,1959-04-01,5.576879478686743,13.649711405907464,0.4085712373576721
0,lsc_composite,1959-05-01,6.621627089053745,13.649711405907464,0.4851111420705912
0,lsc_composite,1959-06-01,8.022584821941873,13.649711405907464,0.5877475781993292
0,lsc_composite,1959-07-01,7.4308234116174035,13.649711405907464,0.5443941773304756
0,lsc_composite,1959-08-01,6.9188040380669635,13.649711405907464,0.5068828074322927
0,lsc_composite,1959-09-01,6.751927126191574,13.649711405907464,0.49465713416251456
0,lsc_composite,1959-10-01,7.338615303414027,13.649711405907464,0.5376388617445746
0,lsc_composite,1959-11-01,7.572688557058358,13.649711405907464,0.5547874480174703
0,lsc_composite,1959-12-01,7.793319521708701,13.649711405907464,0.5709512303927412
0,lsc_composite,1960-01-01,7.707789051251456,13.649711405907464,0.5646851293805083
0,lsc_composite,1960-02-01,6.39129822812382,13.649711405907464,0.4682368760820634
