draw,null_minp,argmin_method
199,0.5619,raw_var_cusum
200,0.10165,lsc_composite
201,0.1492,raw_var_cusum
202,0.1492,raw_var_cusum
203,0.481,lsc_composite
204,0.481,lsc_composite
205,0.481,lsc_composite
206,0.2774,lsc_kalman_cusum
207,0.5535,lsc_tail_cusum
208,0.481,lsc_composite
209,0.02015,lsc_kalman_cusum
210,0.481,lsc_composite
211,0.2774,lsc_kalman_cusum
212,0.2774,lsc_kalman_cusum
213,0.5535,lsc_tail_cusum
214,0.0198,lsc_tail_cusum
215,0.5619,raw_var_cusum
216,0.1521,raw_cusum
217,0.5535,lsc_tail_cusum
218,0.0198,lsc_tail_cusum
219,0.1492,raw_var_cusum
220,0.1492,raw_var_cusum
221,0.2774,lsc_kalman_cusum
222,0.1521,raw_cusum
223,0.5535,lsc_tail_cusum
224,0.02015,lsc_kalman_cusum
225,0.5535,lsc_tail_cusum
226,0.1492,raw_var_cusum
227,0.481,lsc_composite
228,0.481,lsc_composite
229,0.1521,raw_cusum
230,0.02015,lsc_kalman_cusum
231,0.1521,raw_cusum
232,0.2774,lsc_kalman_cusum
233,0.14915,lsc_tail_cusum
234,0.481,lsc_composite
235,0.5619,raw_var_cusum
236,0.5535,lsc_tail_cusum
237,0.10165,lsc_composite
238,0.2774,lsc_kalman_cusum
239,0.481,lsc_composite
240,0.2774,lsc_kalman_cusum
241,0.5535,lsc_tail_cusum
242,0.1521,raw_cusum
243,0.5619,raw_var_cusum
244,0.5619,raw_var_cusum
245,0.02015,lsc_kalman_cusum
246,0.2774,lsc_kalman_cusum
247,0.5535,lsc_tail_cusum
248,0.1521,raw_cusum
249,0.5535,lsc_tail_cusum
250,0.2774,lsc_kalman_cusum
251,1.0,lsc_composite
252,0.481,lsc_composite
253,1.0,lsc_composite
254,0.10165,lsc_composite
255,0.5535,lsc_tail_cusum
256,0.14915,lsc_tail_cusum
257,0.1521,raw_cusum
258,0.10165,lsc_composite
259,0.1492,raw_var_cusum
260,0.5619,raw_var_cusum
261,0.1492,raw_var_cusum
262,0.5535,lsc_tail_cusum
263,0.1521,raw_cusum
264,0.14915,lsc_tail_cusum
265,0.1492,raw_var_cusum
266,0.5535,lsc_tail_cusum
267,0.14915,lsc_tail_cusum
268,0.5535,lsc_tail_cusum
269,0.10165,lsc_composite
270,0.10165,lsc_composite
271,0.481,lsc_composite
272,0.5535,lsc_tail_cusum
273,0.5619,raw_var_cusum
274,0.481,lsc_composite
275,0.1521,raw_cusum
276,0.5535,lsc_tail_cusum
277,0.1492,raw_var_cusum
278,0.5535,lsc_tail_cusum
279,0.5535,lsc_tail_cusum
280,0.1521,raw_cusum
281,0.2774,lsc_kalman_cusum
282,0.1521,raw_cusum
283,0.5535,lsc_tail_cusum
284,1.0,lsc_composite
285,0.14915,lsc_tail_cusum
286,1.0,lsc_composite
287,0.14915,lsc_tail_cusum
288,0.2774,lsc_kalman_cusum
289,0.10165,lsc_composite
290,0.5619,raw_var_cusum
291,0.481,lsc_composite
292,0.14915,lsc_tail_cusum
293,0.5535,lsc_tail_cusum
294,0.1521,raw_cusum
295,0.14915,lsc_tail_cusum
296,0.5535,lsc_tail_cusum
297,0.2774,lsc_kalman_cusum
298,0.1492,raw_var_cusum
299,0.2774,lsc_kalman_cusum
300,0.2774,lsc_kalman_cusum
301,0.10165,lsc_composite
302,0.481,lsc_composite
303,0.14915,lsc_tail_cusum
304,0.5535,lsc_tail_cusum
305,0.5535,lsc_tail_cusum
306,0.5535,lsc_tail_cusum
307,0.1492,raw_var_cusum
308,0.2774,lsc_kalman_cusum
309,0.481,lsc_composite
