seed0,threshold_n250
2000000,14.452569613032914
2010000,17.19612305341555
2020000,25.56988327338097
2030000,22.039452698668597
2040000,16.854358641605682
2050000,16.91779987282543
2060000,22.862635249126463
2070000,21.094868150562213
2080000,25.44166614948131
2090000,17.706804708545715
2100000,18.760787958161977
2110000,19.28809508167496
2120000,23.684604442894056
2130000,16.534663835309793
2140000,20.78654677373198
2150000,22.392805122111376
2160000,22.820181509421285
2170000,26.657952294670398
2180000,21.92810507057669
2190000,20.856561280218717
