series,episode,method,decision_month,data_month,vintage
unrate,gfc,raw_cusum,2008-09,2008-08,2008-09-15
unrate,gfc,raw_var_cusum,2008-11,2008-10,2008-11-15
unrate,gfc,lsc_composite,2009-01,2008-12,2009-01-15
unrate,gfc,lsc_tail_cusum,2009-02,2009-01,2009-02-15
unrate,covid,raw_var_cusum,2020-04,2020-03,2020-04-15
unrate,covid,lsc_composite,2020-05,2020-04,2020-05-15
unrate,covid,raw_cusum,2020-05,2020-04,2020-05-15
unrate,covid,lsc_tail_cusum,2020-10,2020-09,2020-10-15
