rep_id,arena,scenario,channel,vol_mult,snr,phi,detector,detected,alarm_index,score_max,threshold,seed
22,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,10.354332393104862,22.14512826431865,200022
22,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,353.0,269.6295259862178,103.19232082036218,200022
23,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,324.0,43.91817259523961,22.14512826431865,200023
23,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,318.0,330.96581614630816,103.19232082036218,200023
24,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,11.97687971125546,22.14512826431865,200024
24,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,350.0,206.10696108444833,103.19232082036218,200024
25,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,420.0,27.26831293076756,22.14512826431865,200025
25,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,317.0,371.98002429692315,103.19232082036218,200025
26,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,274.0,461.70563783447017,22.14512826431865,200026
26,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,308.0,449.2651495425987,103.19232082036218,200026
27,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,277.0,336.0851245990778,22.14512826431865,200027
27,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,341.0,361.82123643765794,103.19232082036218,200027
28,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,287.0,94.34254217807062,22.14512826431865,200028
28,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,327.0,308.926224647967,103.19232082036218,200028
29,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,6.012045054034375,22.14512826431865,200029
29,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,394.0,179.13395965768288,103.19232082036218,200029
30,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,10.258658817955073,22.14512826431865,200030
30,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,324.0,449.41332279159553,103.19232082036218,200030
31,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,284.0,146.42590232144636,22.14512826431865,200031
31,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,308.0,437.6835583957965,103.19232082036218,200031
32,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,14.01525228827877,22.14512826431865,200032
32,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,348.0,255.0845048786655,103.19232082036218,200032
33,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,273.0,115.52265123007511,22.14512826431865,200033
33,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,324.0,323.9350391340457,103.19232082036218,200033
34,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,381.0,57.6739220344267,22.14512826431865,200034
34,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,327.0,505.73562423024913,103.19232082036218,200034
35,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,10.438441565602014,22.14512826431865,200035
35,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,294.0,604.4466542085971,103.19232082036218,200035
36,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,9.912295050662694,22.14512826431865,200036
36,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,0,,83.29207941235,103.19232082036218,200036
37,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,447.0,25.725962611857934,22.14512826431865,200037
37,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,397.0,226.74177512883082,103.19232082036218,200037
38,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,12.819346292667753,22.14512826431865,200038
38,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,343.0,294.8789949462119,103.19232082036218,200038
39,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,264.0,361.1693501060753,22.14512826431865,200039
39,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,308.0,437.06314597167136,103.19232082036218,200039
40,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,277.0,100.12476184633131,22.14512826431865,200040
40,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,337.0,263.03134011236887,103.19232082036218,200040
41,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,11.17072538601585,22.14512826431865,200041
41,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,435.0,178.54909888818898,103.19232082036218,200041
42,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,21.170379884318237,22.14512826431865,200042
42,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,331.0,228.55403601843625,103.19232082036218,200042
43,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,266.0,353.8053513988026,22.14512826431865,200043
43,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,369.0,323.5486306270232,103.19232082036218,200043
44,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,14.401198223206672,22.14512826431865,200044
44,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,340.0,264.29053874522486,103.19232082036218,200044
45,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,279.0,188.6013607245054,22.14512826431865,200045
45,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,334.0,304.64464480574327,103.19232082036218,200045
46,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,386.0,27.643758501407014,22.14512826431865,200046
46,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,313.0,338.37433949058106,103.19232082036218,200046
47,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,261.0,80.27768505322004,22.14512826431865,200047
47,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,280.0,485.59966395947987,103.19232082036218,200047
48,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,293.0,54.92167114948378,22.14512826431865,200048
48,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,300.0,308.25860979089026,103.19232082036218,200048
49,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,280.0,201.82635207786277,22.14512826431865,200049
49,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,323.0,341.4274025572199,103.19232082036218,200049
50,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,263.0,289.13375805787484,22.14512826431865,200050
50,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,316.0,267.1470094463389,103.19232082036218,200050
51,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,4.932026013008482,22.14512826431865,200051
51,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,355.0,221.12209006429046,103.19232082036218,200051
52,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,13.941520360490173,22.14512826431865,200052
52,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,354.0,253.80757929250493,103.19232082036218,200052
53,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,10.449310286474903,22.14512826431865,200053
53,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,306.0,504.0593818395313,103.19232082036218,200053
54,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,302.0,72.37067470398391,22.14512826431865,200054
54,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,326.0,316.8206501201559,103.19232082036218,200054
55,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,454.0,28.365283298067965,22.14512826431865,200055
55,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,349.0,296.22156492507855,103.19232082036218,200055
56,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,266.0,206.96250620565763,22.14512826431865,200056
56,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,347.0,324.03288809005346,103.19232082036218,200056
57,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,18.4922736347661,22.14512826431865,200057
57,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,308.0,293.45991823914125,103.19232082036218,200057
58,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,298.0,56.52698895439824,22.14512826431865,200058
58,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,290.0,437.8545455980049,103.19232082036218,200058
59,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,250.0,526.5529611692259,22.14512826431865,200059
59,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,278.0,525.8906355710336,103.19232082036218,200059
60,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,272.0,103.4300336398808,22.14512826431865,200060
60,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,306.0,497.86720389197797,103.19232082036218,200060
61,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,437.0,26.727638140979863,22.14512826431865,200061
61,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,353.0,297.995498832778,103.19232082036218,200061
62,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,290.0,160.41688944801612,22.14512826431865,200062
62,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,353.0,348.3970853688933,103.19232082036218,200062
63,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,14.472759692741224,22.14512826431865,200063
63,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,312.0,252.25242355315896,103.19232082036218,200063
64,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,17.464312342362437,22.14512826431865,200064
64,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,336.0,350.9870685558831,103.19232082036218,200064
65,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,10.01084437518872,22.14512826431865,200065
65,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,390.0,164.8214782892648,103.19232082036218,200065
66,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,6.629082009862502,22.14512826431865,200066
66,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,0,,102.38675817476525,103.19232082036218,200066
67,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,309.0,57.048393921279256,22.14512826431865,200067
67,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,309.0,412.2745671500605,103.19232082036218,200067
68,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,396.0,38.169655463802215,22.14512826431865,200068
68,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,359.0,325.7208482915085,103.19232082036218,200068
69,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,15.270948605645884,22.14512826431865,200069
69,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,369.0,253.03056950985982,103.19232082036218,200069
70,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,339.0,77.02754416357138,22.14512826431865,200070
70,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,328.0,435.08204193787293,103.19232082036218,200070
71,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,19.80235314260028,22.14512826431865,200071
71,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,351.0,260.4263577078336,103.19232082036218,200071
72,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,392.0,25.293138491535693,22.14512826431865,200072
72,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,364.0,244.1590622659221,103.19232082036218,200072
73,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,4.846964521517469,22.14512826431865,200073
73,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,283.0,430.54713623116777,103.19232082036218,200073
74,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,303.0,161.425656130773,22.14512826431865,200074
74,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,329.0,415.8007229201066,103.19232082036218,200074
75,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,12.131585763568964,22.14512826431865,200075
75,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,291.0,420.65161324753416,103.19232082036218,200075
76,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,16.812782244664987,22.14512826431865,200076
76,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,329.0,306.2697042770482,103.19232082036218,200076
77,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,226.0,296.1821953024369,22.14512826431865,200077
77,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,274.0,576.100867630682,103.19232082036218,200077
78,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,273.0,195.27875524646873,22.14512826431865,200078
78,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,347.0,430.7885441209513,103.19232082036218,200078
79,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,20.65882364717652,22.14512826431865,200079
79,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,298.0,449.311783293964,103.19232082036218,200079
80,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,312.0,118.89968059447651,22.14512826431865,200080
80,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,331.0,449.03638802406937,103.19232082036218,200080
81,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,8.601193534192006,22.14512826431865,200081
81,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,400.0,155.2165821804463,103.19232082036218,200081
82,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,17.91241622936984,22.14512826431865,200082
82,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,294.0,292.5232283323918,103.19232082036218,200082
83,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,22.097754278991193,22.14512826431865,200083
83,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,316.0,401.9074450346399,103.19232082036218,200083
84,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,8.092942296511021,22.14512826431865,200084
84,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,294.0,467.3859008768886,103.19232082036218,200084
85,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,362.0,79.82651509696576,22.14512826431865,200085
85,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,365.0,320.40455337121665,103.19232082036218,200085
86,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,321.0,56.86492313461488,22.14512826431865,200086
86,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,321.0,349.2781098327534,103.19232082036218,200086
87,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,8.760113387060237,22.14512826431865,200087
87,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,398.0,194.2855697453944,103.19232082036218,200087
88,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,12.500304614856418,22.14512826431865,200088
88,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,292.0,484.5453294721654,103.19232082036218,200088
89,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,13.68119215013073,22.14512826431865,200089
89,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,331.0,359.61999785522096,103.19232082036218,200089
90,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,280.0,22.798772102770204,22.14512826431865,200090
90,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,270.0,495.39646016856693,103.19232082036218,200090
91,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,15.951017055953713,22.14512826431865,200091
91,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,326.0,222.74433281605852,103.19232082036218,200091
92,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,17.201281247151535,22.14512826431865,200092
92,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,326.0,307.8830467707629,103.19232082036218,200092
93,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,287.0,168.79669017460017,22.14512826431865,200093
93,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,333.0,324.4146883632535,103.19232082036218,200093
94,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,293.0,62.938659247870696,22.14512826431865,200094
94,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,304.0,372.744953921458,103.19232082036218,200094
95,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,378.0,31.426231266162674,22.14512826431865,200095
95,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,311.0,404.0431419014278,103.19232082036218,200095
96,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,325.0,26.391253682027138,22.14512826431865,200096
96,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,311.0,332.1093393782037,103.19232082036218,200096
97,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,15.800102814252181,22.14512826431865,200097
97,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,442.0,149.02117717654605,103.19232082036218,200097
98,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,12.18860693913157,22.14512826431865,200098
98,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,410.0,208.00331608903116,103.19232082036218,200098
99,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,316.0,94.83794041650489,22.14512826431865,200099
99,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,333.0,332.8542987341303,103.19232082036218,200099
100,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,12.221488182505583,22.14512826431865,200100
100,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,364.0,226.03992371718434,103.19232082036218,200100
101,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,319.0,69.09119549896376,22.14512826431865,200101
101,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,322.0,341.63061890836815,103.19232082036218,200101
102,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,332.0,23.166593781861557,22.14512826431865,200102
102,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,333.0,201.27328742750512,103.19232082036218,200102
103,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,282.0,39.87672201937008,22.14512826431865,200103
103,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,313.0,271.6190721614366,103.19232082036218,200103
104,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,11.175282600873892,22.14512826431865,200104
104,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,418.0,144.92668898668444,103.19232082036218,200104
105,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,269.0,142.51686753230203,22.14512826431865,200105
105,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,328.0,280.98269424859,103.19232082036218,200105
106,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,271.0,26.01896262711962,22.14512826431865,200106
106,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,322.0,286.00732651491,103.19232082036218,200106
107,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,9.809279020974149,22.14512826431865,200107
107,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,380.0,297.55421348382083,103.19232082036218,200107
108,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,486.0,22.63850459041913,22.14512826431865,200108
108,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,285.0,415.4001901208716,103.19232082036218,200108
109,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,324.0,47.21696249278951,22.14512826431865,200109
109,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,324.0,375.9630013084691,103.19232082036218,200109
110,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,13.875298677184851,22.14512826431865,200110
110,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,354.0,213.09076820082697,103.19232082036218,200110
111,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,338.0,96.6896337326107,22.14512826431865,200111
111,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,372.0,169.24207695485237,103.19232082036218,200111
112,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,262.0,303.94788021690806,22.14512826431865,200112
