snr,arm,n_paths,rho_median,rho_iqr_lo,rho_iqr_hi,rho_min,max_abs_delta_median,max_abs_delta_max
0.1,estimated,200,0.9947343270376425,0.9841914412820236,0.9994338573526639,0.1513702794018665,0.3319790019317451,14.259882219632711
0.1,estimated_forced101,200,0.999151772353462,0.9883877828782619,0.999966858875427,0.1513702794018665,0.23828807211613345,14.259882219632711
0.1,true_params,200,1.0,0.9999999999999999,1.0,0.9999999999999993,3.727348493742788e-08,1.511447971225266e-07
0.5,estimated,200,0.9914277353454282,0.9836835569781651,0.9972300683032569,0.7596295901053451,0.36607369917239224,3.9209833223282047
0.5,estimated_forced101,200,0.9995371611619615,0.995862076452896,0.9999788064545718,0.7169535891407115,0.15593314149428045,3.9209833223282047
0.5,true_params,200,1.0,0.9999999999999999,1.0,0.9999999999999996,2.172990787308038e-09,3.2737463850907034e-09
2.0,estimated,200,0.9879898293553231,0.974489388614691,0.9951453346329019,0.8926144569612171,0.45380436996657714,2.3789646567722826
2.0,estimated_forced101,200,0.9996144723408104,0.996646331651314,0.9999819642108888,0.8926438282696112,0.14041202012970366,2.4507706205007276
2.0,true_params,200,1.0,0.9999999999999999,1.0,0.9999999999999996,1.0132974459509114e-09,1.4136012360665973e-09
