arena,snr,threshold,far_n500,far_n2000,far_n500_se,far_n2000_se
ar1_snr0.1,0.1,27.489993868664545,0.04,0.0535,0.009746794344808964,0.004873397172404482
ar1_snr0.5,0.5,103.19232082036218,0.062,0.064,0.009746794344808964,0.004873397172404482
ar1_snr2.0,2.0,213.88728356819823,0.082,0.0725,0.009746794344808964,0.004873397172404482
