snr,n_cal,n_eval,threshold_raw,threshold_arima,threshold_combined,empirical_far_raw,empirical_far_arima,empirical_far_combined,raw,arima,combined
0.1,400,300,126.06491250067535,167.81903399787936,1.437662132340314,0.05,0.05,0.05,0.5533333333333333,0.5166666666666667,0.49333333333333335
0.5,400,300,260.6357255531505,157.20487303441382,1.3797047819622832,0.05,0.05,0.05,0.41,0.56,0.49
2.0,400,300,571.6480001909697,147.55626464387421,1.419546414983369,0.05,0.05,0.05,0.21333333333333335,0.6233333333333333,0.45666666666666667
