channel,vol_mult,snr,gap_p50,gap_p95,gap_p99,maxscore_corr
q,1.5,0.1,0.11208102248871225,0.5786865557792444,2.8686212624096186,0.1547497336230773
q,1.5,0.5,0.11639702616762482,0.5012617143164663,0.8181765890086082,0.6362220483098536
q,1.5,2.0,0.1320049823237707,0.5456695570399885,0.8711011551951511,0.8675220982220486
q,3.0,0.1,0.1301357489499207,0.8092676274567172,3.363992710427198,0.20448053404479874
q,3.0,0.5,0.1635303904697742,0.826657620637391,1.392269151841336,0.8485660403937497
q,3.0,2.0,0.19161026475790643,0.9642895544135242,1.5621171518283794,0.8760279712347444
r,1.5,0.1,0.11318486359268189,0.6082401099568351,3.0551956147944663,0.14271548146295424
r,1.5,0.5,0.1031083529380632,0.45718263306413814,0.7687366685438011,0.4873614845876749
r,1.5,2.0,0.11047325553926662,0.4648102725917796,0.7449657342398233,0.9420762677882712
r,3.0,0.1,0.13798629895503134,0.9406003177765325,3.514851745449376,0.1910758644243623
r,3.0,0.5,0.12272637666310898,0.6178374046308144,1.1059842159221829,0.42927910822195026
r,3.0,2.0,0.12416615401750852,0.5762426571053559,0.9620151874949814,0.9790809258789072
