config,arena,scenario,phi,snr,delta_sigma_ref,K,F,mu_inf,k,h,L,bound_value,bound_vacuous,bound_below_resolution_floor,h_fixed_ref,bound_at_fixed_h,bound_vacuous_fixed_h,observed_detect_est,observed_detect_known
grid_v6_phisweep,ar1_phi0.8_snr0.1,level_1s,0.8,0.1,1.0,0.0804,1.0875,0.2294,0.5,10.5397,375,1.2533450141761315,True,False,17.3722,0.031063665732651517,False,0.24,
grid_v6_phisweep,ar1_phi0.8_snr0.1,level_3s,0.8,0.1,3.0,0.0804,1.0875,0.6882,0.5,10.5397,250,13274.555230482947,True,False,17.3722,173859.23652895767,True,0.932,
grid_v6_phisweep,ar1_phi0.8_snr0.1,level_3s,0.8,0.1,3.0,0.0804,1.0875,0.6882,0.5,10.5397,375,19885.389508611905,True,False,17.3722,260442.52165294057,True,0.932,
grid_v6_phisweep,ar1_phi0.8_snr0.5,level_1s,0.8,0.5,1.0,0.2558,1.3437,0.3015,0.5,11.3134,250,2.8130847711499904,True,False,22.1451,0.03817171328674802,False,0.306,
grid_v6_phisweep,ar1_phi0.8_snr0.5,level_1s,0.8,0.5,1.0,0.2558,1.3437,0.3015,0.5,11.3134,375,4.214023402200783,True,False,22.1451,0.05718153066062651,False,0.306,
grid_v6_phisweep,ar1_phi0.8_snr0.5,level_3s,0.8,0.5,3.0,0.2558,1.3437,0.9045,0.5,11.3134,250,2370900.1630916027,True,False,22.1451,15166715101.622131,True,0.968,
grid_v6_phisweep,ar1_phi0.8_snr0.5,level_3s,0.8,0.5,3.0,0.2558,1.3437,0.9045,0.5,11.3134,375,3551627.335945986,True,False,22.1451,22719860072.549488,True,0.968,
grid_v6_phisweep,ar1_phi0.8_snr2.0,level_1s,0.8,2.0,1.0,0.5116,2.0474,0.3244,0.5,11.0322,250,5.216828861405153,True,False,15.3659,1.1391118529133293,True,0.368,
grid_v6_phisweep,ar1_phi0.8_snr2.0,level_1s,0.8,2.0,1.0,0.5116,2.0474,0.3244,0.5,11.0322,375,7.814851202742381,True,False,15.3659,1.7063986322526368,True,0.368,
grid_v6_phisweep,ar1_phi0.8_snr2.0,level_3s,0.8,2.0,3.0,0.5116,2.0474,0.9733,0.5,11.0322,250,8616267.384631677,True,False,15.3659,521247380.3800918,True,0.974,
grid_v6_phisweep,ar1_phi0.8_snr2.0,level_3s,0.8,2.0,3.0,0.5116,2.0474,0.9733,0.5,11.0322,375,12907237.19769526,True,False,15.3659,780832729.1749582,True,0.974,
grid_v6_phisweep,ar1_phi0.95_snr0.1,level_1s,0.95,0.1,1.0,0.0603,1.0642,0.1429,0.5,17.3722,250,0.0010247725475259547,False,True,17.3722,0.0010247725475259547,False,0.13,
grid_v6_phisweep,ar1_phi0.95_snr0.1,level_1s,0.95,0.1,1.0,0.0603,1.0642,0.1429,0.5,17.3722,375,0.0015351174417121871,False,True,17.3722,0.0015351174417121871,False,0.13,
grid_v6_phisweep,ar1_phi0.95_snr0.1,level_3s,0.95,0.1,3.0,0.0603,1.0642,0.4286,0.5,17.3722,250,20.98284988939423,True,False,17.3722,20.98284988939423,True,0.654,
grid_v6_phisweep,ar1_phi0.95_snr0.1,level_3s,0.95,0.1,3.0,0.0603,1.0642,0.4286,0.5,17.3722,375,31.432476328335582,True,False,17.3722,31.432476328335582,True,0.654,
grid_v6_phisweep,ar1_phi0.95_snr0.5,level_1s,0.95,0.5,1.0,0.1651,1.1978,0.1562,0.5,22.1451,250,6.111829263712632e-05,False,True,22.1451,6.111829263712632e-05,False,0.112,
