scenario,method,n,precision,precision_se,recall,recall_se,f1,f1_se,n_alarms,n_alarms_se,mean_matched_delay,mean_matched_delay_se,fp,fp_se,recall_break1,recall_break2
var_up_down,raw_var_cusum,500,0.998,0.002,0.499,0.001,0.6653333333333332,0.001333333333333333,1.0,0.0,43.8496993987976,0.7094496430653442,0.002,0.002,0.998,0.0
var_up_down,windowed_raw_cusum,500,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.003457152557758369,,,0.006,0.003457152557758369,0.0,0.0
var_up_down,windowed_raw_var,500,0.9969879518072289,0.0017355042999632933,0.94,0.00754412537377996,0.9576666666666667,0.005570762975894822,1.886,0.014779881250522924,47.87048192771084,0.22404991231580426,0.006,0.003457152557758369,0.932,0.948
