method,threshold,far_target,far_empirical
lsc_composite,32.52839035699555,0.05,0.048
lsc_kalman_cusum,22.14512831289292,0.05,0.048
lsc_state_cusum,525.3112493592541,0.05,0.054
raw_cusum,103.1923208203622,0.05,0.062
arima_cusum,33.490344847754564,0.05,0.064
