scenario,method,n,precision,precision_se,recall,recall_se,f1,f1_se,n_alarms,n_alarms_se,mean_matched_delay,mean_matched_delay_se,fp,fp_se,recall_break1,recall_break2
level_then_var,raw_var_cusum,500,0.784,0.01842190906141201,0.392,0.009210954530706006,0.5226666666666666,0.012281272707608005,1.0,0.0,50.36224489795919,1.3743561599073724,0.216,0.01842190906141201,0.644,0.14
level_then_var,windowed_raw_cusum,500,0.9913793103448276,0.0045264486132671556,0.347,0.0104114743238021,0.4613333333333334,0.0138022423060254,0.702,0.021054181463885706,51.369942196531795,0.3809645852792975,0.008,0.003987957825156938,0.692,0.002
level_then_var,windowed_raw_var,500,0.9854677565849227,0.005701839590797647,0.414,0.01317403166158488,0.5163999999999999,0.014832692412204088,0.844,0.027144089655142475,47.1900826446281,0.5678938449704265,0.016,0.005617036781471955,0.594,0.234
level_then_var,windowed_combined,500,0.9913793103448276,0.0045264486132671556,0.348,0.01048866169003921,0.462,0.013838171482531927,0.704,0.021205360988894736,51.3757225433526,0.38116803143234773,0.008,0.003987957825156938,0.692,0.004
var_then_level,raw_var_cusum,500,0.998,0.002,0.499,0.001,0.6653333333333332,0.001333333333333333,1.0,0.0,43.8496993987976,0.7094496430653442,0.002,0.002,0.998,0.0
var_then_level,windowed_raw_cusum,500,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
var_then_level,windowed_raw_var,500,1.0,0.0,0.469,0.005928599884727115,0.6233333333333333,0.007624860603359482,0.938,0.01185719976945423,45.31974248927039,0.17076539844884187,0.0,0.0,0.932,0.006
var_then_level,windowed_combined,500,1.0,0.0,0.022,0.0045906588085582204,0.029333333333333336,0.006120878411410961,0.044,0.009181317617116441,50.95454545454545,1.151842628303799,0.0,0.0,0.044,0.0
