channel,snr,ratio,mu_inf,det_raw,det_innov
level,0.5,0.0,0.0,0.05,0.032
level,0.5,0.2,0.0312,0.048,0.028
level,0.5,0.4,0.0625,0.092,0.04
level,0.5,0.6,0.0937,0.13,0.06
level,0.5,0.8,0.1249,0.198,0.082
level,0.5,1.0,0.1562,0.3,0.112
level,0.5,1.2,0.1874,0.384,0.134
level,0.5,1.4,0.2186,0.482,0.162
level,0.5,1.6,0.2499,0.582,0.192
level,0.5,1.8,0.2811,0.71,0.228
level,0.5,2.0,0.3123,0.808,0.264
level,0.5,2.2,0.3436,0.88,0.316
level,0.5,2.4,0.3748,0.934,0.356
level,0.5,2.6,0.4061,0.972,0.414
level,0.5,2.8,0.4373,0.982,0.462
level,0.5,3.0,0.4685,0.99,0.554
level,0.5,3.2,0.4998,0.994,0.606
level,0.5,3.4,0.531,0.998,0.652
level,0.5,3.6,0.5622,0.998,0.694
level,0.5,3.8,0.5935,0.998,0.75
level,0.5,4.0,0.6247,0.998,0.788
